1,126.778
2,126.652
3,126.581
4,126.574
5,126.446
6,126.734
7,126.629
8,126.531
9,126.369
10,126.637
11,126.737
12,126.337
14,126.228
15,126.771
16,126.636
18,126.094
20,126.121
22,126.129
24,126.212
26,126.105
28,126.175
31,126.18
34,127.025
38,126.562
41,126.414
45,126.866
50,126.83
55,126.351
60,126.516
66,126.422
72,126.486
79,126.403
87,126.725
95,126.275
105,126.756
115,126.514
126,125.581
138,123.989
152,121.012
167,116.105
183,109.813
201,102.255
221,96.9348
242,89.5319
266,81.2824
292,74.7554
320,69.2321
351,64.2137
385,59.2677
423,55.2468
464,52.5668
509,49.5665
559,46.6648
614,44.1864
673,42.2206
739,40.1732
811,38.5292
890,37.0791
977,34.8346
1072,33.2091
1177,31.9699
1292,30.7691
1417,29.8301
1556,28.4493
1707,27.3332
1874,26.5004
2057,25.5506
2257,25.0026
2477,24.2406
2719,23.5541
2984,23.2246
3275,22.5304
3594,22.6443
3944,21.9716
4329,21.8715
4751,22.0162
5214,21.6191
5722,21.9962
6280,21.7899
6893,21.8792
7565,22.261
8302,22.1517
9112,22.3718
10000,22.8444
