1,126.776
2,126.682
3,126.561
4,126.586
5,126.501
6,126.717
7,126.7
8,126.529
9,126.402
10,126.491
11,126.791
12,126.426
14,126.348
15,126.782
16,126.483
18,126.235
20,125.967
22,126.352
24,126.194
26,126.175
28,125.935
31,126.26
34,126.913
38,126.462
41,126.588
45,126.842
50,126.75
55,126.457
60,126.519
66,126.289
72,126.589
79,126.48
87,126.777
95,126.397
105,126.768
115,126.468
126,125.516
138,123.854
152,120.844
167,115.464
183,109.518
201,102.047
221,96.6023
242,89.0547
266,81.073
292,74.309
320,68.8503
351,64.0121
385,58.8182
423,55.0744
464,52.4467
509,49.4233
559,46.5786
614,44.1725
673,41.8234
739,40.3487
811,38.3737
890,36.8743
977,34.9624
1072,33.2275
1177,32.2023
1292,30.6537
1417,29.6916
1556,28.5894
1707,27.2024
1874,26.1802
2057,25.3613
2257,24.7071
2477,24.0405
2719,23.5741
2984,23.2015
3275,22.5411
3594,22.2856
3944,21.9623
4329,21.8453
4751,21.9115
5214,21.6391
5722,21.6868
6280,21.9177
6893,21.9546
7565,21.8961
8302,22.1825
9112,22.5612
10000,22.7582
