1,126.727
2,126.678
3,126.521
4,126.648
5,126.478
6,126.676
7,126.628
8,126.546
9,126.603
10,126.75
11,126.748
12,126.377
14,126.359
15,126.754
16,126.499
18,126.209
20,126.077
22,126.389
24,126.338
26,126.06
28,126.165
31,126.248
34,126.765
38,126.422
41,126.616
45,126.914
50,126.705
55,126.489
60,126.739
66,126.519
72,126.579
79,126.622
87,126.626
95,126.429
105,126.756
115,126.676
126,126.357
138,126.209
152,125.43
167,122.893
183,119.416
201,114.067
221,109.518
242,102.912
266,95.0737
292,87.9109
320,82.2968
351,76.4441
385,70.6483
423,66.6198
464,61.9277
509,58.715
559,54.6526
614,51.911
673,49.8344
739,47.7223
811,45.3979
890,43.1411
977,41.4293
1072,39.639
1177,37.6271
1292,36.2493
1417,34.6745
1556,33.5523
1707,32.4717
1874,31.5434
2057,30.6537
2257,29.4052
2477,29.0527
2719,28.5755
2984,27.9105
3275,27.6673
3594,27.5395
3944,27.2347
4329,27.3025
4751,27.3086
5214,27.1808
5722,27.501
6280,27.4764
6893,27.9582
7565,28.4231
8302,28.8896
9112,29.2221
10000,29.4006
