1,126.725
2,126.677
3,126.564
4,126.65
5,126.474
6,126.652
7,126.823
8,126.448
9,126.351
10,126.788
11,126.602
12,126.42
14,126.395
15,126.677
16,126.623
18,126.348
20,125.932
22,126.392
24,126.098
26,126.094
28,126.158
31,126.354
34,126.814
38,126.445
41,126.543
45,126.976
50,126.565
55,126.634
60,126.782
66,126.54
72,126.731
79,126.552
87,126.591
95,126.516
105,126.693
115,126.539
126,126.52
138,126.228
152,125.258
167,123.172
183,119.271
201,114.279
221,109.492
242,103.008
266,95.0475
292,88.1849
320,82.1968
351,76.5472
385,70.5606
423,66.3812
464,61.8785
509,58.4349
559,54.4971
614,52.1773
673,49.9575
739,47.4252
811,45.8628
890,43.526
977,41.6479
1072,39.5944
1177,37.8872
1292,35.8137
1417,35.0409
1556,33.5677
1707,32.5271
1874,31.5635
2057,30.6737
2257,29.5499
2477,29.1543
2719,28.7787
2984,27.6765
3275,27.7119
3594,27.5195
3944,27.4764
4329,27.2732
4751,27.6534
5214,27.3563
5722,27.3071
6280,28.0075
6893,27.7366
7565,28.5463
8302,28.8095
9112,29.0389
10000,29.7424
