1,126.783
2,126.644
3,126.561
4,126.519
5,126.465
6,126.404
7,126.633
8,126.683
9,126.796
10,126.14
11,126.315
12,126.177
14,126.466
15,126.357
16,126.024
18,126.268
20,126.446
22,126.525
24,126.206
26,126.234
28,126.44
31,126.397
34,126.42
38,126.711
41,126.677
45,126.903
50,126.343
55,126.682
60,126.428
66,126.425
72,126.599
79,126.74
87,126.231
95,126.834
105,126.194
115,126.235
126,125.532
138,123.591
152,120.898
167,116.091
183,110.063
201,102.968
221,95.8588
242,88.1665
266,80.4326
292,74.2043
320,69.2552
351,63.461
385,59.3062
423,55.5578
464,52.265
509,49.0539
559,46.5016
614,44.1248
673,41.9866
739,40.381
811,38.2859
890,36.1985
977,34.9424
1072,33.6355
1177,32.2392
1292,30.4597
1417,29.396
1556,28.6032
1707,27.13
1874,26.2418
2057,25.272
2257,25.0057
2477,24.2529
2719,23.8835
2984,23.2369
3275,23.2185
3594,22.515
3944,22.2825
4329,21.8961
4751,22.0255
5214,22.0393
5722,22.3303
6280,22.2718
6893,22.0963
7565,22.475
8302,22.9799
9112,23.1076
10000,23.4201
