1,126.653
2,126.516
3,126.55
4,126.472
5,126.75
6,126.65
7,126.537
8,126.576
9,126.642
10,126.277
11,126.226
12,126.112
14,126.277
15,126.272
16,126.298
18,126.435
20,126.254
22,126.205
24,126.483
26,126.212
28,126.302
31,126.554
34,126.668
38,126.392
41,126.395
45,126.28
50,126.432
55,126.543
60,126.48
66,126.708
72,126.417
79,126.431
87,126.274
95,126.606
105,126.158
115,126.208
126,125.496
138,123.92
152,120.698
167,116.174
183,109.946
201,102.769
221,95.3554
242,88.7468
266,80.5204
292,74.5814
320,68.5825
351,63.6087
385,59.5063
423,55.7764
464,52.3482
509,49.4172
559,46.5355
614,44.2249
673,41.9712
739,40.0023
811,38.0889
890,36.2232
977,34.79
1072,33.3815
1177,32.1284
1292,30.5505
1417,29.5068
1556,28.2984
1707,27.5303
1874,26.0802
2057,25.3705
2257,24.9103
2477,24.196
2719,23.5925
2984,23.3493
3275,23.0753
3594,22.5612
3944,22.1794
4329,22.3934
4751,22.3025
5214,21.9808
5722,22.2733
6280,21.9623
6893,22.2733
7565,22.6166
8302,22.8136
9112,23.0661
10000,23.4155
