1,126.534
2,127.091
3,126.325
4,126.445
5,127.568
6,126.168
7,125.814
8,126.029
9,127.507
10,125.814
11,127.368
12,126.352
14,125.814
15,125.844
16,125.767
18,126.922
20,125.737
22,126.907
24,126.121
26,125.444
28,126.044
31,126.491
34,125.213
38,127.137
41,126.999
45,126.722
50,127.261
55,126.891
60,126.121
66,127.846
72,126.229
79,126.814
87,126.583
95,127.199
105,126.06
115,125.906
126,125.752
138,124.351
152,120.965
167,115.561
183,110.851
201,102.261
221,96.2575
242,87.2829
266,79.8477
292,73.4131
320,69.4722
351,64.8849
385,59.3123
423,55.6024
464,51.3075
509,48.4597
559,48.2288
614,43.9647
673,41.24
739,40.8398
811,39.2234
890,37.2684
977,34.6053
1072,34.5437
1177,31.5419
1292,31.9575
1417,29.7254
1556,28.1245
1707,27.4164
1874,26.816
2057,25.9693
2257,24.938
2477,23.337
2719,23.1215
2984,23.7065
3275,23.414
3594,22.0439
3944,22.5981
4329,22.0439
4751,22.5057
5214,21.7207
5722,22.2594
6280,21.7361
6893,23.26
7565,22.7674
8302,22.7059
9112,23.5987
10000,23.6449
