1,126.757
2,126.624
3,126.582
4,126.645
5,126.345
6,126.496
7,126.28
8,126.376
9,126.146
10,126.534
11,126.683
12,126.305
14,126.599
15,126.488
16,126.697
18,126.355
20,126.223
22,126.751
24,126.141
26,126.308
28,126.225
31,126.699
34,126.068
38,126.405
41,126.243
45,126.175
50,126.165
55,126.496
60,126.472
66,126.231
72,126.131
79,126.351
87,126.234
95,126.422
105,126.454
115,126.552
126,127.031
138,126.879
152,126.642
167,126.602
183,126.788
201,126.566
221,126.492
242,125.755
266,124.339
292,122.275
320,119.445
351,114.962
385,110.487
423,104.909
464,99.2038
509,94.6211
559,90.0322
614,84.7429
673,80.3864
739,76.2547
811,72.3524
890,68.8611
977,65.7223
1072,62.2079
1177,59.534
1292,57.2988
1417,54.3878
1556,52.4652
1707,50.8719
1874,49.1247
2057,47.9225
2257,46.223
2477,45.6703
2719,44.7159
2984,44.1479
3275,43.6661
3594,43.3058
3944,43.0257
4329,42.8456
4751,42.51
5214,42.9148
5722,43.2489
6280,44.0324
6893,44.3557
7565,44.4619
8302,45.0546
9112,45.7396
10000,46.6463
