0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	1
41	1
42	1
43	0
44	2
45	1
46	0
47	2
48	0
49	0
50	0
51	1
52	0
53	0
54	1
55	5
56	1
57	2
58	1
59	0
60	1
61	1
62	1
63	2
64	4
65	2
66	3
67	1
68	4
69	2
70	4
71	1
72	2
73	4
74	4
75	5
76	5
77	4
78	7
79	3
80	10
81	13
82	1
83	3
84	3
85	3
86	2
87	5
88	2
89	1
90	0
91	1
92	3
93	0
94	0
95	5
96	3
97	1
98	2
99	1
100	4
101	3
102	1
103	2
104	1
105	4
106	1
107	1
108	1
109	2
110	2
111	2
112	4
113	4
114	3
115	4
116	5
117	4
118	8
119	7
120	16
121	16
122	16
123	20
124	19
125	17
126	15
127	23
128	24
129	25
130	14
131	13
132	11
133	6
134	8
135	5
136	6
137	1
138	2
139	2
140	3
141	0
142	2
143	2
144	1
145	5
146	0
147	1
148	4
149	2
150	3
151	1
152	1
153	2
154	1
155	1
156	1
157	0
158	3
159	2
160	0
161	2
162	1
163	3
164	1
165	1
166	1
167	1
168	0
169	0
170	1
171	0
172	1
173	0
174	1
175	0
176	0
177	0
178	1
179	1
180	1
181	1
182	1
183	2
184	4
185	1
186	2
187	3
188	0
189	1
190	3
191	10
192	3
193	6
194	6
195	4
196	4
197	4
198	2
199	2
200	1
201	1
202	2
203	0
204	0
205	1
206	0
207	3
208	2
209	0
210	0
211	0
212	1
213	0
214	1
215	0
216	0
217	0
218	0
219	0
220	0
221	1
222	0
223	0
224	1
225	0
226	0
227	1
228	0
229	0
230	1
231	0
232	0
233	1
234	0
235	0
236	1
237	0
238	0
239	0
240	1
241	0
242	0
243	0
244	1
245	0
246	0
247	0
248	0
249	0
250	1
251	0
252	0
253	0
254	0
255	0
256	0
257	0
258	1
259	0
260	0
261	0
262	1
263	0
264	1
265	0
266	0
267	1
268	0
269	0
270	1
271	0
272	0
273	0
274	1
275	0
276	0
277	0
278	0
279	0
280	0
281	0
282	1
283	0
284	2
285	0
286	1
287	0
288	0
289	0
290	0
291	1
292	0
293	0
294	3
295	0
296	2
297	0
298	1
299	1
300	1
301	0
302	0
303	0
304	2
305	0
306	0
307	0
308	0
309	0
310	1
311	0
312	0
313	1
314	0
315	0
316	1
317	0
318	0
319	1
320	0
321	1
322	0
323	0
324	0
325	1
326	2
327	0
328	1
329	2
330	0
331	0
332	1
333	0
334	0
335	0
336	0
337	0
338	1
339	0
340	0
341	0
342	0
343	2
344	0
345	1
346	1
347	3
348	1
349	0
350	2
351	0
352	1
353	0
354	0
355	0
356	0
357	0
358	1
359	3
360	2
361	0
362	0
363	1
364	2
365	2
366	1
367	2
368	0
369	1
370	0
371	2
372	1
373	1
374	1
375	0
376	3
377	3
378	4
379	2
380	0
381	1
382	1
383	1
384	0
385	0
386	0
387	1
388	0
389	0
390	0
391	1
392	2
393	3
394	2
395	2
396	1
397	3
398	1
399	0
400	1
401	2
402	0
403	1
404	1
405	1
406	1
407	1
408	1
409	0
410	2
411	1
412	2
413	0
414	1
415	2
416	3
417	3
418	1
419	3
420	2
421	2
422	2
423	2
424	2
425	1
426	0
427	2
428	1
429	0
430	5
431	2
432	1
433	1
434	1
435	0
436	2
437	2
438	2
439	2
440	6
441	4
442	3
443	0
444	2
445	4
446	3
447	1
448	5
449	5
450	5
451	6
452	4
453	8
454	4
455	4
456	2
457	5
458	4
459	11
460	8
461	7
462	5
463	4
464	4
465	5
466	9
467	12
468	5
469	12
470	10
471	7
472	10
473	17
474	7
475	5
476	11
477	10
478	6
479	9
480	8
481	12
482	11
483	13
484	10
485	15
486	13
487	16
488	28
489	31
490	32
491	43
492	68
493	85
494	97
495	121
496	132
497	147
498	151
499	169
500	182
501	166
502	176
503	162
504	104
505	100
506	63
507	47
508	26
509	6
510	9
511	4
512	11
513	4
514	4
515	4
516	4
517	2
518	3
519	1
520	0
521	3
522	0
523	0
524	3
525	3
526	3
527	2
528	3
529	0
530	2
531	2
532	2
533	2
