0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	1
41	3
42	0
43	0
44	1
45	1
46	0
47	2
48	1
49	1
50	1
51	1
52	1
53	2
54	1
55	0
56	2
57	2
58	3
59	1
60	0
61	1
62	1
63	2
64	2
65	6
66	5
67	2
68	3
69	4
70	3
71	0
72	5
73	3
74	5
75	5
76	5
77	2
78	7
79	8
80	8
81	8
82	9
83	7
84	4
85	4
86	2
87	0
88	2
89	0
90	1
91	1
92	2
93	4
94	4
95	3
96	1
97	1
98	1
99	3
100	1
101	1
102	1
103	2
104	3
105	2
106	4
107	2
108	1
109	2
110	3
111	4
112	3
113	2
114	0
115	0
116	4
117	8
118	5
119	6
120	17
121	13
122	21
123	27
124	32
125	26
126	33
127	26
128	36
129	32
130	19
131	28
132	14
133	18
134	7
135	7
136	1
137	5
138	3
139	0
140	0
141	2
142	2
143	1
144	6
145	2
146	6
147	4
148	1
149	3
150	1
151	1
152	0
153	0
154	1
155	0
156	1
157	1
158	2
159	0
160	0
161	0
162	0
163	0
164	2
165	1
166	0
167	0
168	0
169	1
170	0
171	0
172	1
173	0
174	0
175	1
176	1
177	0
178	0
179	0
180	1
181	1
182	0
183	1
184	0
185	0
186	1
187	2
188	3
189	3
190	3
191	5
192	5
193	6
194	8
195	13
196	7
197	3
198	2
199	1
200	1
201	3
202	1
203	0
204	0
205	1
206	1
207	2
208	4
209	3
210	1
211	0
212	1
213	1
214	0
215	0
216	0
217	0
218	1
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	2
228	1
229	0
230	0
231	1
232	0
233	0
234	0
235	0
236	0
237	0
238	1
239	1
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	1
248	0
249	1
250	0
251	1
252	2
253	1
254	1
255	1
256	0
257	3
258	1
259	0
260	1
261	1
262	0
263	1
264	0
265	1
266	2
267	0
268	1
269	0
270	0
271	1
272	0
273	1
274	0
275	0
276	0
277	1
278	0
279	2
280	0
281	0
282	0
283	0
284	0
285	0
286	0
287	1
288	0
289	0
290	0
291	0
292	0
293	1
294	2
295	0
296	1
297	0
298	0
299	1
300	0
301	0
302	1
303	1
304	1
305	0
306	0
307	0
308	2
309	0
310	0
311	2
312	1
313	1
314	0
315	0
316	0
317	0
318	0
319	2
320	1
321	1
322	0
323	1
324	1
325	1
326	3
327	1
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	2
337	0
338	0
339	1
340	0
341	1
342	0
343	0
344	1
345	0
346	1
347	0
348	1
349	0
350	0
351	0
352	0
353	1
354	0
355	2
356	0
357	0
358	1
359	0
360	2
361	3
362	0
363	1
364	0
365	1
366	0
367	1
368	0
369	0
370	0
371	1
372	2
373	1
374	0
375	2
376	1
377	1
378	2
379	0
380	0
381	2
382	1
383	0
384	1
385	3
386	0
387	2
388	0
389	0
390	1
391	2
392	0
393	0
394	3
395	0
396	1
397	0
398	3
399	0
400	1
401	1
402	4
403	3
404	1
405	0
406	1
407	1
408	2
409	1
410	3
411	2
412	2
413	2
414	1
415	1
416	1
417	3
418	1
419	1
420	1
421	1
422	3
423	1
424	1
425	2
426	2
427	2
428	4
429	1
430	4
431	1
432	1
433	2
434	9
435	4
436	0
437	4
438	2
439	4
440	8
441	5
442	2
443	2
444	4
445	3
446	6
447	7
448	3
449	5
450	4
451	8
452	4
453	5
454	5
455	7
456	11
457	10
458	8
459	11
460	7
461	5
462	5
463	10
464	12
465	12
466	12
467	6
468	12
469	11
470	5
471	12
472	12
473	12
474	7
475	14
476	5
477	15
478	14
479	6
480	13
481	9
482	13
483	13
484	15
485	22
486	21
487	28
488	31
489	27
490	52
491	70
492	95
493	108
494	134
495	156
496	156
497	186
498	219
499	227
500	250
501	200
502	203
503	174
504	144
505	103
506	79
507	53
508	37
509	21
510	14
511	4
512	2
513	7
514	3
515	2
516	2
517	1
518	3
519	2
520	5
521	2
522	3
523	3
524	1
525	2
526	0
527	4
528	2
529	1
530	2
531	3
532	1
533	2
