2,3.40438e-05
3,0.023882
4,0.22001
5,0.476301
6,0.65662
7,0.76009
8,0.832503
9,0.883104
10,0.909961
11,0.923149
12,0.936469
14,0.945465
15,0.951149
16,0.957008
18,0.959766
20,0.962065
22,0.964757
24,0.964782
26,0.967962
28,0.967983
31,0.968333
34,0.970083
38,0.970603
41,0.97088
45,0.970898
50,0.970054
55,0.970918
60,0.970249
66,0.971233
72,0.97313
79,0.972649
87,0.972779
95,0.973686
105,0.974107
115,0.97419
126,0.975938
138,0.976901
152,0.977277
167,0.977295
183,0.978062
201,0.978778
221,0.979871
242,0.980102
266,0.981363
292,0.982913
320,0.98194
351,0.983661
385,0.984008
423,0.984738
464,0.985105
509,0.985957
559,0.986969
614,0.988703
673,0.988474
739,0.989462
811,0.990719
890,0.990684
977,0.99171
1072,0.991909
1177,0.992429
1292,0.991671
1417,0.992915
1556,0.993176
1707,0.993464
1874,0.993786
2057,0.993689
2257,0.993659
2477,0.994513
2719,0.993643
2984,0.994002
3275,0.993932
3594,0.994268
3944,0.994125
4329,0.993858
4751,0.993979
5214,0.994312
5722,0.994084
6280,0.994008
6893,0.99423
7565,0.994711
8302,0.994363
9112,0.99451
10000,0.994704
